city|location|area_sq_ft|num_of_bedrooms|num_of_bathrooms|price_in_rupees
Lahore|OLC - Block A, Overseas Low Cost|1362|3|4|15500000
Lahore|Park View City, Lahore|1362|4|3|20000000
Lahore|DHA Phase 8 - Ex Air Avenue, DHA Phase 8|2995|4|5|56000000
Lahore|Bahria Town - Jasmine Block, Bahria Town - Sector C|2723|5|6|31000000
Lahore|DHA Phase 6, DHA Defence|10890|5|6|380000000
Lahore|New Lahore City - Phase 2, New Lahore City|1362|3|3|14500000
Lahore|Lake City - Sector M-8, Lake City|1362|5|5|26500000
Lahore|Eden Value Homes, Eden|817|2|2|11000000
Lahore|Park View City - Tulip Overseas, Park View City|1362|3|3|25000000
Lahore|DHA Phase 5 - Block L, DHA Phase 5|5445|6|6|103000000
Lahore|DHA Phase 3 - Block XX, DHA Phase 3|5990|7|6|70000000
Lahore|DHA Phase 4 - Block HH, DHA Phase 4|5445|6|6|92500000
Lahore|Park View City, Lahore|1362|4|4|16500000
Lahore|Park View City, Lahore|1362|4|4|17500000
Lahore|Askari 10 - Sector S, Askari 10|4084|5|6|81500000
Lahore|Askari 10 - Sector D, Askari 10|2995|4|5|52500000
Lahore|Askari 10 - Sector F, Askari 10|5445|5|6|92500000
Lahore|Paragon City - Woods Block, Paragon City|1362|3|4|22000000
Lahore|Park View City, Lahore|1362|4|4|21000000
Lahore|Park View City - Jasmine Block, Park View City|2723|5|5|31000000
Lahore|Lake City - Sector M-7, Lake City|1362|4|5|24000000
Lahore|New Lahore City, Lahore|1362|3|4|16000000
Lahore|Lake City - Sector M-7, Lake City|1362|4|5|23500000
Lahore|Bahria Orchard Phase 1 - Eastern, Bahria Orchard Phase 1|1362|4|6|21000000
Lahore|DHA Phase 5, DHA Defence|5445|5|6|77500000
Lahore|Bahria Orchard, Lahore|2723|5|6|45000000
Lahore|DHA Phase 5 - Block A, DHA Phase 5|10890|6|6|340000000
Lahore|DHA Phase 5, DHA Defence|2723|4|5|57000000
Lahore|DHA 9 Town, DHA Defence|1362|3|4|21900000
Lahore|DHA Phase 7, DHA Defence|5445|5|6|64900000
Lahore|DHA 9 Town - Block C, DHA 9 Town|1362|3|4|22500000
Lahore|DHA Phase 7, DHA Defence|5445|5|5|69000000
Lahore|DHA 11 Rahbar, Lahore|1362|3|4|22000000
Lahore|Audit & Accounts Housing Society, Lahore|817|3|3|13000000
Lahore|Askari 10 - Sector S, Askari 10|4084|5|6|80000000
Lahore|Park View City - Platinum Block, Park View City|1362|4|4|16500000
Lahore|DHA Phase 6 - Block A, DHA Phase 6|5445|5|6|210000000
Lahore|Askari 10 - Sector F, Askari 10|5445|5|6|87500000
Lahore|DHA Phase 7 - Block Y, DHA Phase 7|5445|5|6|75000000
Lahore|DHA 9 Town - Block B, DHA 9 Town|1362|3|4|22000000
Lahore|Park View City - Executive Block, Park View City|1362|4|5|25000000
Lahore|State Life Housing Society, Lahore|2723|4|6|35500000
